state,state_fips,county,county_code,commodity,data _item,domain_category,2017,2012,2007,2002,1997
VERMONT,50,ADDISON,1,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,169874,208362,187482,193376,209469
VERMONT,50,BENNINGTON,3,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,33079,41387,36580,41126,34766
VERMONT,50,CALEDONIA,5,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,86999,81828,81946,84318,99488
VERMONT,50,CHITTENDEN,7,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,64226,73583,83382,76679,91186
VERMONT,50,ESSEX,9,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,42801,25491,26732,19838,25443
VERMONT,50,FRANKLIN,11,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,189699,186294,180006,190115,192790
VERMONT,50,GRAND ISLE,13,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,18799,19020,17138,16289,21901
VERMONT,50,LAMOILLE,15,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,53155,52093,49749,53820,53208
VERMONT,50,ORANGE,17,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,85629,105234,101645,110415,102549
VERMONT,50,ORLEANS,19,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,128388,130445,130308,132240,142252
VERMONT,50,RUTLAND,21,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,98863,108497,130580,121203,128685
VERMONT,50,WASHINGTON,23,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,64443,67352,61029,53942,63343
VERMONT,50,WINDHAM,25,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,44844,50765,50764,61596,50882
VERMONT,50,WINDSOR,27,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,112638,101362,95972,89952,99353