"Analytical_Method_ID","Lab_Name","Parameter","Analysis_ID","Analysis_ID_Source","Analysis_Name","CRWA_References","Data_Type","Container_Type","Sample_Volume","Container_Color","Sterile_Bottle","Chemical_Preserv","Thermal_Preserv","Other_Instructions","Holding_Time","MDL","Reporting_Limit","Action_Limit","Matrix"
"Alpha-BOD","Alpha","BOD5","405.1","USEPA","5 Day Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","2.0 mg/l","110 mg/l (p)","RW, SW"
"Alpha-BOD-2012","Alpha","BOD5","405.1/5210B","USEPA/APHA","5 Day Biochemical Oxygen Demand","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","2.0 mg/l","110 mg/l (a-2)","RW, SW"
"Alpha-CBOD","Alpha","CBOD5","5210B","APHA","5 Day Carbonaceous Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","1.3 mg/l ","110 mg/l (p)","RW, SW"
"Alpha-CBOD-2012","Alpha","CBOD5","405.1/5210B","USEPA/APHA","5 Day Carbonaceous Biochemical Oxygen Demand","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","1.3 mg/l ","110 mg/l (a-2)","RW, SW"
"Alpha-ChlorA","Alpha","Chlorophyll a","446","USEPA","Specrophotometric Determination","QAPP 2007-2009 Revision 2","C","Plastic","1000","Amber","NA","None required","Cool to 4°C","filter, freeze, keep filter in dark","Filter within 6 hrs, hold up to 21 days","0.001 mg/l ","0.002 mg/l","0.0037 mg/l (u)","RW, SW"
"Alpha-ChlorA-2012","Alpha","Chlorophyll a","446","USEPA","Specrophotometric Determination","QAPP 2010-2012 Revision 1","C","Plastic or Glass","1000","Amber","NA","None required","Cool to 4°C","At laboratory: filter, freeze, keep filter in dark","Filter within 6 hrs, hold up to 21 days","0.001 mg/l ","0.002 mg/l","0.0037 mg/l (a-5)","RW, SW"
"Alpha-Cl-2012","Alpha","Chloride","325.2","Modified USEPA","Chloride","QAPP 2010-2012 Revision 1","C","Plastic","250","NA","NA","None required","Cool to 4°C","None","28 days","0.5 mg/l","1.0 mg/l","860 mg/l (a-6)","RW, SW"
"Alpha-Cr-2012","Alpha","Chromium (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.005 mg/l","0.01 mg/l","1.82 mg/l (a-6, a-9)","RW, SW"
"Alpha-Cr-D","Alpha","Chromium (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.01 mg/l","0.016 mg/l (v)","RW, SW"
"Alpha-CrD-2012","Alpha","Chromium (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.01 mg/l","0.016 mg/l (a-6)","RW, SW"
"Alpha-Cu-2012","Alpha","Copper (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.005 mg/l","0.01 mg/l","0.01354 mg/l (a-6, a-9)","RW, SW"
"Alpha-Cu-D","Alpha","Copper (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.01mg/l","0.013 mg/l (v)","RW, SW"
"Alpha-CuD-2012","Alpha","Copper (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.01mg/l","0.013 mg/l (a-6)","RW, SW"
"Alpha-EC","Alpha","Escherichia coli","9213D","APHA","E. coli method","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","1/100ml ","126 cfu/100ml (o)","RW, SW"
"Alpha-EC-2012","Alpha","Escherichia coli","9213D","APHA","E. coli Membrane Filtration","QAPP 2010-2012 Revision 1","C, NC","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","1/100ml ","126 cfu/100ml (a-1)","RW, SW"
"Alpha-Ent","Alpha","Enterococcus","1600","USEPA","Enterococci in Water by Membrane Filtration","QAPP 2007-2009 Revision 2","C","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","2/100ml ","61 cfu/100ml (p)","RW, SW"
"Alpha-Ent-2012","Alpha","Enterococcus","1600","USEPA","Enterococcus Multiple Tube Technique","QAPP 2010-2012 Revision 1","C, NC","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","2/100ml ","61 cfu/100ml (a-2)","RW, SW"
"Alpha-FC","Alpha","Fecal Coliform","9222D","APHA","Fecal Coliform Membrane Filter Procedure","QAPP 2007-2009 Revision 2","C","Plastic or Glass","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0/100ml","1/100ml",">200 cfu/100ml ","RW, SW"
"Alpha-FC-2012","Alpha","Fecal Coliform","9222D","APHA","Fecal Coliform Membrane Filter Procedure","QAPP 2010-2012 Revision 1","C","Plastic or Glass","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0/100ml","1/100ml",">200 cfu/100ml ","RW, SW"
"Alpha-Fl-2012","Alpha","Fluoride","4500F-BC/340.2","APHA/USEPA","Preliminary Distillation of Fluorid","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","28 days","0.1 mg/l","0.2 mg/l","0.25 mg/l (a-7)","RW, SW"
"Alpha-K-2012","Alpha","Potassium (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","1.25 mg/l","2.5 mg/l","NH3 / K > 1 (a-7)","RW, SW"
"Alpha-N/N","Alpha","Nitrate-Nitrite","353.2","USEPA","Nitrate and Nitrite Nitrogen by Automated Colorimetry","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.005 mg/l","0.05 mg/l","0.31 mg/l as N (u)","RW, SW"
"Alpha-N/N-2012","Alpha","Nitrate-Nitrite","4500","USEPA","Nitrate, Nitrite, and Nitrite Oxygen, Automated Cadmium Reduction Method","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","48 hrs/28 days","0.005 mg/l","0.05 mg/l","0.31 mg/l as N (a-5)","RW, SW"
"Alpha-Na","Alpha","Sodium ","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.198 mg/l","2 mg/l","20 mg/l (x)","RW, SW"
"Alpha-Na-2012","Alpha","Sodium ","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.198 mg/l","2 mg/l","20 mg/l (a-7)","RW, SW"
"Alpha-NH3-D","Alpha","Ammonia, Dissolved ","350.1","Modified USEPA","Nitrogen, Ammonia (Colorimetric Automated, Phenate)","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","filter ASAP ","48 hrs/28 days","0.016 mg/l ","0.075 mg/l","0.3 mg/l (u)","RW, SW"
"Alpha-NH3D-2012","Alpha","Ammonia, Dissolved ","350.1","USEPA","Ammonia Nitrogen by Colorimetry","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","48 hrs/28 days","0.016 mg/l ","0.075 mg/l","0.3 mg/l (a-5)","RW, SW"
"Alpha-NO2","Alpha","Nitrite","353.2","USEPA","Nitrate and Nitrite Nitrogen by Automated Colorimetry","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.005 mg/l","0.05 mg/l","0.57 mg/l as N (u)","RW, SW"
"Alpha-NO2-2012","Alpha","Nitrite","4500","USEPA","Nitrate, Nitrite, and Nitrite Oxygen, Automated Cadmium Reduction Method","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.005 mg/l","0.05 mg/l","0.57 mg/l as N (a-5)","RW, SW"
"Alpha-NO3","Alpha","Nitrate","353.2","USEPA","Nitrate and Nitrite Nitrogen by Automated Colorimetry","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.006 mg/l ","0.1 mg/l ","0.57 mg/l as N (u)","RW, SW"
"Alpha-NO3-2012","Alpha","Nitrate","4500","APHA","Nitrate, Nitrite, and Nitrite Oxygen, Automated Cadmium Reduction Method","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.006 mg/l ","0.05 mg/l ","0.57 mg/l as N (a-5)","RW, SW"
"Alpha-O&G","Alpha","Oil & Grease","1664","USEPA","Oil and Grease, n-Hexane Extraction and Gravimetric Method","QAPP 2007-2009 Revision 2","C","Glass","500","Amber","NA","HCl or H2SO4 to pH < 2 ","Cool to 4°C","None","Hold up to 14 days ","0.672 mg/l ","4 mg/l ",">5 mg/l (p)","RW, SW"
"Alpha-O&G-2012","Alpha","Oil & Grease","1664","USEPA","Oil and Grease, n-Hexane Extraction and Gravimetric Method","QAPP 2010-2012 Revision 1","C","Glass","500","Amber","NA","HCl or H2SO4 to pH < 2","Cool to 4°C","None","Hold up to 14 days ","0.672 mg/l ","4 mg/l ",">5 mg/l (a-2)","RW, SW"
"Alpha-OP-D","Alpha","Orthophosphate, Dissolved","365.2/4500-P-E","USEPA/APHA","Orthophosphate Colorimetric, Single Reagent","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","NA","None required","Cool to 4°C","filter on-site ","48 hrs/48 hrs","0.0015 mg/l ","0.005 mg/l ","0.0238 mg/l as P (u)","RW, SW"
"Alpha-OPD-2012","Alpha","Orthophosphate, Dissolved","365.2/4500-P-E","USEPA/APHA","Orthophosphate Colorimetric, Single Reagent","QAPP 2010-2012 Revision 1","C","Plastic","100","NA","NA","None required","Cool to 4°C","Field filter with 0.45 µm filter","48 hrs/48 hrs","0.0015 mg/l ","0.005 mg/l ","0.0238 mg/l as P (a-5)","RW, SW"
"Alpha-Pb-2012","Alpha","Lead (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.005 mg/l","0.01 mg/l","N/A","RW, SW"
"Alpha-Pb-D","Alpha","Lead (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.001 mg/l","0.065 mg/l (v)","RW, SW"
"Alpha-PbD-2012","Alpha","Lead (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.001 mg/l","0.065 mg/l (a-6)","RW, SW"
"Alpha-SFT-2012","Alpha","Surfactants, anionic","5540/425.1","APHA/USEPA","MBAS Anionic Surfactants","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","48 hrs","0.025 mg/l","0.05 mg/l","0.25 mg/l (a-7)","RW, SW"
"Alpha-TDS-2012","Alpha","Total Dissolved Solids (TDS)","2540 C/160.1","APHA/USEPA","Total Dissolved Solids Dried at 180°C and 500°C","QAPP 2010-2012 Revision 1","C, NC","Plastic","1000","NA","NA","None required","Cool to 4°C","None","24 hrs/7 days","5 mg/l","10 mg/l","1000 mg/l (a-4)","RW, SW"
"Alpha-TKN","Alpha","Total Kjeldahl Nitrogen (Organic Nitrogen + Ammonia)","351.3/4500-Norg-C","USEPA/APHA","Total Kjeldahl Nitrogen","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","7 days/28 days","0.102 mg/l ","0.3 mg/l","0.3 mg/l (u)","RW, SW"
"Alpha-TKN-2012","Alpha","Total Kjeldahl Nitrogen (Organic Nitrogen + Ammonia)","4500-Norg-C","APHA","Total Kjeldahl Nitrogen, Titration Method","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","7 days/28 days","0.102 mg/l","0.3 mg/l","0.3 mg/l (a-5)","RW, SW"
"Alpha-TN","Alpha","Total Nitrogen (TKN + Nitrate + Nitrite)","Alpha","NA","NA","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","NA","NA","NA ","NA","0.57 mg/l (u)","RW, SW"
"Alpha-TN-2012","Alpha","Total Nitrogen (TKN + Nitrate + Nitrite)","Alpha","NA","NA","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","NA","NA ","NA","0.57 mg/l (a-5)","RW, SW"
"Alpha-TOC-2012","Alpha","Total Organic Carbon","415/9060/5310 ","USEPA/USEPA/APHA","Total Organic Carbon (TOC) and Dissolved Organic Carbon (DOC)","QAPP 2010-2012 Revision 1","C","Glass","1000","Amber","NA","H2SO4 to pH < 2","Cool to 4°C","None","28 days","0.25 mg/l","0.05 mg/l","None established (a-16)","RW, SW"
"Alpha-TP","Alpha","Total Phosphorus","365.2/4500-P-E","USEPA/APHA","Total Phosphorus, Dissolved Phosphorous Colorimetric, Single Reagent","QAPP 2007-2009 Revision 2","C","Plastic","250","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","48 hrs/28 days","0.0026 mg/l","0.01mg/l","0.0238 mg/l as P(u)","RW, SW"
"Alpha-TP-2012","Alpha","Total Phosphorus","365.2/4500-P-E","USEPA/APHA","Total Phosphorus, Dissolved Phosphorous Colorimetric, Single Reagent","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","48 hrs/28 days","0.0026 mg/l","0.01mg/l","0.0238 mg/l as P (a-5)","RW, SW"
"Alpha-TPH","Alpha","Total Petroleum Hydrocarbon","8015B","USEPA","Oil and Grease, n-Hexane Extraction and Gravimetric Method","QAPP 2007-2009 Revision 2","C","Glass","500","Amber","NA","HCl to pH < 2","Cool to 4°C","None","Hold up to 7 days","0.019 mg/l","0.1 mg/l",">5 mg/l (p)","RW, SW"
"Alpha-TPH-2012","Alpha","Total Petroleum Hydrocarbon","8015B","USEPA","Oil and Grease, n-Hexane Extraction and Gravimetric Method","QAPP 2010-2012 Revision 1","C","Glass","500","Amber","NA","HCl to pH < 2","Cool to 4°C","None","Hold up to 7 days","0.019 mg/l","0.1 mg/l",">5 mg/l (a-2)","RW, SW"
"Alpha-TSS","Alpha","Total Suspended Solids (TSS)","160.2","USEPA","Total Suspended Solids","QAPP 2007-2009 Revision 2","C, NC","Plastic","500","NA","NA","None required","Cool to 4°C","None","24 hrs/7 days","1.0 mg/l ","5.0 mg/l","30 mg/l (q) ","RW, SW"
"Alpha-TSS-2012","Alpha","Total Suspended Solids (TSS)","160.2","USEPA","Total Suspended Solids Dried at 103-105°C","QAPP 2010-2012 Revision 1","C, NC","Plastic","500","NA","NA","None required","Cool to 4°C","None","24 hrs/7 days","1.0 mg/l ","5.0 mg/l","30 mg/l (a-3), 15 mg/l 3/1-6/30 (a-18)","RW, SW"
"Alpha-TVS-2012","Alpha","Total Volatile Solids","160/2540","USEPA/APHA","Total Volatile Solids at 500°C","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","24 hrs/7 days","0.25 mg/l","0.05 mg/l","30 mg/l (a-10 to a-15)","RW, SW"
"Alpha-Zn-2012","Alpha","Zinc (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.025 mg/l","0.05 mg/l","0.1227 mg/l (a-6, a-9)","RW, SW"
"Alpha-Zn-D","Alpha","Zinc (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.0016mg/l","0.12 mg/l (v)","RW, SW"
"Alpha-ZnD-2012","Alpha","Zinc (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.0016mg/l","0.12 mg/l (a-6)","RW, SW"
"Chelsea",,,,,,,,,,,,,,,,,,,
"CRWA-CHEMetsDetergents-2012","CHEMets","Detergents",,,,,,,,,,,,,,,,,
"CRWA-HachAmmonia-2012",,"Ammonia",,,,,,,,,,,,,,,,,
"CRWA-HachChlorine-2012",,"Chlorine",,,,,,,,,,,,,,,,,
"EPA",,,,,,,,,,,,,,,,,,,
"Field-Depth","Field","Depth",,,,,"NC","NA","NA","NA","NA","None required","None required","None","NA","NA","NA","NA","RW, SW"
"Field-Depth-2012","Field","Depth",,,,,"NC","NA","NA","NA","NA","None required","None required","None","NA","NA","NA","NA","RW, SW"
"G&L-EC","G&L","Escherichia coli","1603","USEPA","Escherichia coli in Water by Membrane Filtration","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","5/100ml","126 cfu/100ml (o)","RW, SW"
"G&L-EC-2012","G&L","Escherichia coli","1603","USEPA","Escherichia coli in Water","QAPP 2010-2012 Revision 1","C, NC","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","5/100ml","126 cfu/100ml (a-1)","RW, SW"
"G&L-Ent","G&L","Enterococcus","1600","USEPA","Enterococci in Water by Membrane Filtration","QAPP 2007-2009 Revision 2","C","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","5/100ml ","61 cfu/100ml (p)","RW, SW"
"G&L-Ent-2012","G&L","Enterococcus","1600","USEPA","Enterococci in water by using membrane filter test method","QAPP 2010-2012 Revision 1","C, NC","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","5/100ml ","61 cfu/100ml (a-2)","RW, SW"
"G&L-FC","G&L","Fecal Coliform","9222D","APHA","Fecal Coliform Membrane Filter Procedure","QAPP 2007-2009 Revision 2","C","Plastic or Glass","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0/100ml","5/100ml",">200 cfu/100ml ","RW, SW"
"G&L-FC-2012","G&L","Fecal Coliform","9222D","APHA","Fecal Coliform Membrane Filter Procedure","QAPP 2010-2012 Revision 1","C","Plastic or Glass","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0/100ml","5/100ml",">200 cfu/100ml ","RW, SW"
"Hydrolab-BP","Hydrolab","Barometric Pressure",,,,,,,,,,,,,,,,,
"Hydrolab-BP-2012","Hydrolab","Barometric Pressure",,,,,,,,,,,,,,,,,
"Hydrolab-Depth","Hydrolab","Depth",,,,,,,,,,,,,,,,,
"Hydrolab-Depth-2012","Hydrolab","Depth",,,,,,,,,,,,,,,,,
"Hydrolab-DO","Hydrolab","Dissolved Oxygen",,,,"QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01mg/l","< 5.0 mg/l (o)","RW, SW"
"Hydrolab-DO-2012","Hydrolab","Dissolved Oxygen",,,,"QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01mg/l","< 5.0 mg/l (a-1)","RW, SW"
"Hydrolab-PCY","Hydrolab","Phycocyanin cell count",,,,,,,,,,,,,,,,,
"Hydrolab-PCY-2012","Hydrolab","Phycocyanin cell count",,,,"QAPP 2010-2012 Revision 1","C, NC","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0 cells/ml","1 cell/ml","70,000 cells/ml (m-4), (a-8)","RW, SW"
"Hydrolab-PCYV","Hydrolab","Phycocyanin voltage",,,,,,,,,,,,,,,,,
"Hydrolab-PCYV-2012","Hydrolab","Phycocyanin voltage",,,,,,,,,,,,,,,,,
"Hydrolab-pH","Hydrolab","pH","150.1","USEPA","pH","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01 pH units ","< 6.5 or > 8.3 (o)","RW, SW"
"Hydrolab-pH-2012","Hydrolab","pH","150.1","USEPA","pH","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01 pH units ","< 6.5 or > 8.3 (a-1)","RW, SW"
